,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1004206,71247.0,for_sale,435000.0,3.0,2.0,0.14,673368.0,Aledo,Texas,76008.0,1876.0,8/8/2017
1004207,99234.0,for_sale,345999.0,4.0,3.0,0.13,1265944.0,Fort Worth,Texas,76123.0,2355.0,12/4/2017
1004208,23664.0,for_sale,274900.0,4.0,2.0,0.16,43764.0,Burleson,Texas,76028.0,1610.0,7/10/2002
1004209,814.0,for_sale,175000.0,2.0,1.0,0.14,964422.0,Fort Worth,Texas,76106.0,756.0,2/11/2022
1004210,33745.0,for_sale,200000.0,3.0,1.0,0.21,1654131.0,White Settlement,Texas,76108.0,1294.0,3/13/2003
1004211,51.0,for_sale,350000.0,3.0,2.0,0.16,1572065.0,Burleson,Texas,76028.0,2296.0,11/13/2006
1004212,23664.0,for_sale,299000.0,3.0,2.0,0.16,1614612.0,Burleson,Texas,76028.0,1796.0,
1004213,53016.0,for_sale,474900.0,4.0,4.0,0.19,124873.0,Fort Worth,Texas,76052.0,3232.0,7/17/2014
1004214,97760.0,for_sale,419000.0,4.0,2.0,0.22,645420.0,Hurst,Texas,76054.0,2170.0,3/22/2007
1004215,65812.0,for_sale,264900.0,3.0,2.0,0.13,1283126.0,Fort Worth,Texas,76137.0,1282.0,5/16/2002
1004216,44257.0,for_sale,375000.0,3.0,2.0,0.1,1204540.0,Granbury,Texas,76048.0,1868.0,7/28/2014
1004217,3876.0,for_sale,400000.0,4.0,4.0,0.12,698164.0,Fort Worth,Texas,76131.0,2660.0,5/2/2017
1004218,50697.0,for_sale,299950.0,3.0,2.0,0.17,31378.0,Burleson,Texas,76028.0,1513.0,
1004219,23664.0,for_sale,469000.0,3.0,1.0,0.14,995616.0,Fort Worth,Texas,76109.0,1288.0,6/16/2014
1004220,85285.0,for_sale,324900.0,3.0,2.0,1.0,1251842.0,Denton,Texas,76249.0,1272.0,10/6/2003
1004221,15807.0,for_sale,800000.0,4.0,3.0,1.0,638279.0,Kennedale,Texas,76060.0,2796.0,6/28/2018
1004222,10699.0,for_sale,800000.0,4.0,4.0,0.46,1008330.0,Haslet,Texas,76052.0,3698.0,9/23/2016
1004223,22035.0,for_sale,309900.0,3.0,2.0,0.13,1157368.0,Decatur,Texas,76234.0,1701.0,6/7/2017
1004224,10844.0,for_sale,390000.0,4.0,2.0,0.16,182960.0,Fort Worth,Texas,76108.0,1844.0,6/21/2019
1004225,22611.0,for_sale,464000.0,3.0,2.0,0.29,1289675.0,Fort Worth,Texas,76116.0,1724.0,
1004226,66933.0,for_sale,300000.0,4.0,3.0,0.08,879040.0,Bedford,Texas,76021.0,1838.0,3/22/1999
